Headword,Definition,"Part of Speech","Semantic Group","Frequency Rank"
"multitūdō -inis f.","çok sayı, çokluk","İsim: 3. Çekim Grubu",Ölçüm,733
"multus -a -um","çok, fazla; multō, açık ara","Sıfat: 1. ve 2. Çekim Grubu",Ölçüm,43
"mundus -ī m.","dünya, evren, gökyüzü","İsim: 2. Çekim Grubu","Toprak ve Su",350
"mundus -a -um","temiz, düzgün, zarif","Sıfat: 1. ve 2. Çekim Grubu","Kişisel Özellikler / Nitelikler",997
"mūnus mūneris n.","armağan, sunu; hizmet, görev; (pl.) gladyatör gösterisi","İsim: 3. Çekim Grubu","Sosyal Yaşam",276
"mūrus -ī m.",duvar,"İsim: 2. Çekim Grubu","Ev / Hane",508
"mūtō -āre",değiştirmek,"Fiil: 1. Çekim Grubu","Yapma / Etme",315
"nam or namque","çünkü, zira, oysa",Bağlaç,"Bağlaç / Zarf",61
"narrō -āre","anlatmak, nakletmek","Fiil: 1. Çekim Grubu","Konuşma / Retorik",910
"nāscor nāscī nātus sum",doğmak,"Fiil: Deponens [etken anlamlı edilgen yapılı]","Yaşam ve Varlık",266
"nātūra -ae f.",doğa,"İsim: 1. Çekim Grubu","Yaşam ve Varlık",180
"nātus -ī m.",oğul,"İsim: 2. Çekim Grubu",Hane,211
"nāvis -is f.",gemi,"İsim: 3. Çekim Grubu",Seyahat,353
"ne (enclitic)","(kelime sonuna eklenir) -mi?",Zarf,"Zamir / Soru Zamiri",238
nē,"gerçekten, olmasın diye",Bağlaç,"Bağlaç / Zarf",47
nec,"ne de, ne … ne de ... → neque",Bağlaç,"Bağlaç / Zarf",19
"necesse (indecl. adj.)",gerekli,"Sıfat: Çekimsiz","İş / Para",773
"necessitās -tātis f.","gereklilik; ihtiyaç","İsim: 3. Çekim Grubu","İş / Para",911
"nefās n. indecl.","saygısızlık, günahkarlık","İsim: Çekimsiz",Adalet,541
"negō -āre","reddetmek, kabul etmemek","Fiil: 1. Çekim Grubu","Konuşma / Retorik",294
"negōtium -ī n.",iş,"İsim: 2. Çekim Grubu","İş / Para",846
nēmō,"hiç kimse (gen. nūllīus, dat. nūllī, abl. nūllō veya nūllā → nūllus -a -um)",Zamir,"Zamir / Soru Zamiri",179
"nemus nemoris n.","orman, koru","İsim: 3. Çekim Grubu","Hayvanlar / Bitkiler",461
neque,"değil, de değil; neque ... neque, ne … ne de …",Bağlaç,"Bağlaç / Zarf",72
"nesciō -scīre","bilmemek, cahil olmak","Fiil: 4. Çekim Grubu","Eğitim / Bilgi",525
"nisi, nī","olmadığı takdirde, olmaksızın",Bağlaç,"Bağlaç / Zarf",100
"niger nigra nigrum",siyah,"Sıfat: 1. ve 2. Çekim Grubu","Görü / Görüntü",634
"nihil, nīl","hiçbir şey, hiç","İsim: Çekimsiz",Ölçüm,55
"nimis or nimium",fazlasıyla,Zarf,"Kişisel Özellikler / Nitelikler",841
"nimius -a -um","çok fazla, haddinden fazla","Sıfat: 1. ve 2. Çekim Grubu","Kişisel Özellikler / Nitelikler",502
"nōbilis -e","tanınmış, soylu; (nesne) asilzade, soylu kadın","Sıfat: 3. Çekim Grubu","Kişisel Özellikler / Nitelikler",455
"noceō nocēre nocuī","zarar vermek","Fiil: 2. Çekim Grubu",Şiddet,509
"nōlō nōlle nōluī",istememek,"Fiil: Düzensiz",Duygular,458
"nōmen -inis n.",isim,"İsim: 3. Çekim Grubu","Sosyal Yaşam",135
nōn,değil,Zarf,"Bağlaç / Zarf",6
nōndum,"henüz değil",Zarf,"Bağlaç / Zarf",436
"nōs nostrum/nostrī nōbīs nōs",biz,Zamir,"Zamir / Soru Zamiri",51
"nōscō nōscere nōvī nōtum","öğrenmek, bilmek","Fiil: 3. Çekim Grubu, -ō bitimli","Eğitim / Bilgi",347
"noster nostra nostrum",bizim,Zamir,"Zamir / Soru Zamiri",52
"nōtus -a -um",mâlûm,"Sıfat: 1. ve 2. Çekim Grubu","Kişisel Özellikler / Nitelikler",477
"novus -a -um",yeni,"Sıfat: 1. ve 2. Çekim Grubu",Zaman,139
"nox noctis f.",gece,"İsim: 3. Çekim Grubu","Zamanın Müddetleri",119
"nūdus -a -um","çıplak, yalın","Sıfat: 1. ve 2. Çekim Grubu",Beden,545
"nūllus -a -um","hiç kimse, hiçbir şey","Sıfat: 1. ve 2. Çekim Grubu","Zamir / Soru Zamiri",49
num,"(hayır cevabı bekler) değil mi? elbette değil",Zarf,"Zamir / Soru Zamiri",924
"nūmen -inis n.","tanrısal istenç, ilah","İsim: 3. Çekim Grubu",Din,452
"numerus -ī m.","sayı, çokluk","İsim: 2. Çekim Grubu",Ölçüm,338
numquam,asla,Zarf,Zaman,251
nunc,şimdi,Zarf,Zaman,50
"nūntius -ī m.","haberci; haberler","İsim: 2. Çekim Grubu",Seyahat,919
ob,"karşısında, -i nedeniyle (+acc)",Edat,Yer,449
"occīdō -cīdere -cīdī -cīsum","öldürmek, kesip devirmek","Fiil: 3. Çekim Grubu, -ō bitimli",Şiddet,801
"occupō -āre","kuşatmak, işgal etmek; öngörmek, -den önce yapmak (+ infin.)","Fiil: 1. Çekim Grubu","Savaş ve Barış",472
"occurrō -currere -cucurrī -cursum","rastlamak; aklına gelmek","Fiil: 3. Çekim Grubu, -ō bitimli","Eğitim / Bilgi",677
"oculus -ī m.",göz,"İsim: 2. Çekim Grubu",Beden,206
"ōdī ōdisse","nefret etmek","Fiil: Düzensiz",Duygular,790
"odium -ī n.",nefret,"İsim: 2. Çekim Grubu",Duygular,522
"offerō offerre obtulī oblātum","takdim etmek, sunmak; maruz bırakmak","Fiil: Düzensiz","Getir - Götür Fiilleri",812
"officium -ī n.","hizmet, görev","İsim: 2. Çekim Grubu",Kent,607
ōlim,"vaktiyle, şu zamanda",Zarf,Zaman,574
"omnis -e","tüm, her, bütün olarak","Sıfat: 3. Çekim Grubu",Ölçüm,18
"onus oneris n.","yük, külfet","İsim: 3. Çekim Grubu",Ölçüm,842
"opera -ae f.","çaba, faaliyet, iş","İsim: 1. Çekim Grubu","İş / Para",843
"oportet -ēre -uit","gereklidir, icap eder (+ acc. + inf.)","Fiil: Şahıssız","Sosyal Yaşam",806
"oppidum -ī n.",şehir,"İsim: 2. Çekim Grubu",Kent,635
"ops opis f.","destek, kaynak","İsim: 3. Çekim Grubu","İş / Para",318
"optō -āre","seçmek, ayırmak","Fiil: 1. Çekim Grubu","Kişisel Özellikler / Nitelikler",417
"opus operis n.",iş,"İsim: 3. Çekim Grubu","İş / Para",332
"ōrātiō -ōnis f.","konuşma, hitabet","İsim: 3. Çekim Grubu","Konuşma / Retorik",736
"orbis -is m.","çember; orbis terrārum: dünya","İsim: 3. Çekim Grubu",Coğrafya,322
"ōrdō -īnis m.","düzen, mertebe","İsim: 3. Çekim Grubu","Savaş ve Barış",416
"orior orīrī ortus sum","kalkmak, başlamak","Fiil: Deponens [etken anlamlı edilgen yapılı]",Zaman,642
"ōrō -āre","dua etmek","Fiil: 1. Çekim Grubu",Din,755
"ōs ōris n.","ağız, yüz","İsim: 3. Çekim Grubu",Beden,147
"os ossis n.",kemik,"İsim: 3. Çekim Grubu",Beden,696
"ostendō ostendere ostendī ostentum","göstermek, arz etmek","Fiil: 3. Çekim Grubu, -ō bitimli","Diğer Duyular",371
"ōtium -ī n.",inziva,"İsim: 2. Çekim Grubu","Sosyal Yaşam",715
paene,"hemen hemen",Zarf,"Bağlaç / Zarf",944
"pār paris",eşit,"Sıfat: 3. Çekim Grubu",Ölçüm,281
"parcō parcere pepercī parsum","esirgemek, tutumlu olmak (+ dat.)","Fiil: 3. Çekim Grubu, -ō bitimli","Savaş ve Barış",412
"parēns -ntis m./f.",ebeveyn,"İsim: 3. Çekim Grubu",Hane,190
"pāreō pārēre pāruī","itaat etmek","Fiil: 2. Çekim Grubu","Teşvik Edici / Emredici Fiiller",847
"pariō parere peperī partum","meydana getirmek; yaratmak, neden olmak","Fiil: 3. Çekim Grubu, -iō bitimli","Yaşam ve Varlık",829
"parō -āre","hazırlamak, hazır etmek; parātus -a -um, hazır","Fiil: 1. Çekim Grubu","Yapma / Etme",160
"pars partis f.",kısım,"İsim: 3. Çekim Grubu",Ölçüm,65
parum,"çok az",Zarf,Ölçüm,204
"parvus -a -um",küçük,"Sıfat: 1. ve 2. Çekim Grubu",Ölçüm,143
"pateō patēre patuī","açık olmak, yayılmak, serbest ya da açık olmak","Fiil: 2. Çekim Grubu",Coğrafya,550
"pater patris m.","baba, ata","İsim: 3. Çekim Grubu",Hane,71
"patior patī passus sum","katlanmak, tahammül etmek","Fiil: Deponens [etken anlamlı edilgen yapılı]","Teşvik Edici / Emredici Fiiller",185
"patria -ae f.","memleket, ülke","İsim: 1. Çekim Grubu",Coğrafya,342
"paucī -ae -a","birkaç, biraz","Sıfat: 1. ve 2. Çekim Grubu",Ölçüm,858
"paulō, paulum","biraz, azıcık, ufak",Zarf,Ölçüm,872
"pauper -eris","yoksul, kıt","Sıfat: 3. Çekim Grubu","İş / Para",844
"pāx pācis f.",barış,"İsim: 3. Çekim Grubu","Savaş ve Barış",388
"peccō -āre","haddini aşmak, günah işlemek","Fiil: 1. Çekim Grubu",Adalet,792
"pectus -oris n.","göğüs, böğür","İsim: 3. Çekim Grubu",Beden,183
"pecūnia -ae f.",para,"İsim: 1. Çekim Grubu","İş / Para",530
"pecus -oris n.","sığır, öküz","İsim: 3. Çekim Grubu","Hayvanlar / Bitkiler",566
"pellō pellere pepulī pulsum","vurmak, itmek, çarpmak, sürmek","Fiil: 3. Çekim Grubu, -ō bitimli",Şiddet,563
"pendō pendere pependī pēnsum","tartmak, değerlendirmek, sarkıtmak; ödemek","Fiil: 3. Çekim Grubu, -ō bitimli","İş / Para",988
per,"yoluyla (+acc.)",Edat,Yer,30
"perdō -dere -didī -ditum","tahrip etmek","Fiil: 3. Çekim Grubu, -ō bitimli",Şiddet,488
"pereō -īre -iī -itum","telef olmak, kaybolmak","Fiil: Düzensiz",Şiddet,268
"pergō pergere perrēxī perrēctum","ilerlemek, devam etmek; uyanmak","Fiil: 3. Çekim Grubu, -ō bitimli",Hareket,821
"perīculum -ī n.",tehlike,"İsim: 2. Çekim Grubu",Şiddet,265
"permittō -mittere -mīsī -missum","bırakmak, salıvermek, izin vermek","Fiil: 3. Çekim Grubu, -ō bitimli","Teşvik Edici / Emredici Fiiller",702
"perpetuus -a -um","bozulmamış, daimi","Sıfat: 1. ve 2. Çekim Grubu","Zamanın Müddetleri",891
"pertineō -tinēre -tinuī","uzanmak, yayılmak; ilişkili olmak, dair olmak, işi olmak","Fiil: 2. Çekim Grubu","Eğitim / Bilgi",866
"perveniō -venīre -vēnī -ventum","varmak, ulaşmak","Fiil: 4. Çekim Grubu",Seyahat,409
"pēs pedis m.",ayak,"İsim: 3. Çekim Grubu",Beden,199
"petō petere petīvī petītum","aramak, hedef almak","Fiil: 3. Çekim Grubu, -ō bitimli",Hareket,83
"pietās -tātis f.","görevseverlik, görev duygusu (özellikle aile ve çocuklar arasında)","İsim: 3. Çekim Grubu",Hane,767
"pius -a -um","görevini bilen, görevsever, vicdanlı","Sıfat: 1. ve 2. Çekim Grubu","Kişisel Özellikler / Nitelikler",748
"placeō placēre placuī placitum","memnun etmek","Fiil: 2. Çekim Grubu","Sosyal Yaşam",287
"plēbs plēbis f.",avam,"İsim: 3. Çekim Grubu",Kent,649
"plēnus -a -um",dolu,"Sıfat: 1. ve 2. Çekim Grubu",Ölçüm,459
plērumque,genellikle,Zarf,Ölçüm,974
"plērus- plēra- plērumque","büyük bölüm, en çok, en fazla, çoğunluk","Sıfat: 1. ve 2. Çekim Grubu",Ölçüm,968
"poena -ae f.","ceza, bedel","İsim: 1. Çekim Grubu",Adalet,223
"poēta -ae m.",şair,"İsim: 1. Çekim Grubu","Yazı / Şiir",913
"pondus ponderis n.",ağırlık,"İsim: 3. Çekim Grubu",Ölçüm,636
"pōnō pōnere posuī positum","koymak, yerleştirmek; bir yana koymak","Fiil: 3. Çekim Grubu, -ō bitimli","Getir - Götür Fiilleri",102
"pontus -ī m.","açık deniz, derin","İsim: 2. Çekim Grubu","Toprak ve Su",630
"populus -ī m.",halk,"İsim: 2. Çekim Grubu",Kent,122
"porta -ae f.",kapı,"İsim: 1. Çekim Grubu",Kent,759
"portō -āre","bir yükü nakletmek","Fiil: 1. Çekim Grubu",Ölçüm,853
"pōscō pōscere popōscī","ısrarla istemek, talep etmek; hakkında soruşturmak","Fiil: 3. Çekim Grubu, -ō bitimli","Konuşma / Retorik",487
"possum posse potuī",edebilmek,"Fiil: Düzensiz","Yapma / Etme",23
post,"sonra (zarf; edat +acc.)",Edat,Zaman,164
posteā,sonradan,Zarf,Zaman,964
"posterus -a -um","bir sonraki, sonra gelen","Sıfat: 1. ve 2. Çekim Grubu",Zaman,877
postquam,ardından,Bağlaç,Zaman,384
"potēns potentis","muktedir, güçlü","Sıfat: 3. Çekim Grubu","Kişisel Özellikler / Nitelikler",567
"potestās -ātis f.",istenç,"İsim: 3. Çekim Grubu",Kent,737
"potis -e","kudretli, muktedir","Sıfat: 3. Çekim Grubu","Kişisel Özellikler / Nitelikler",947
"praebeō -ēre -uī -itum","önermek, tedarik etmek, sağlamak","Fiil: 2. Çekim Grubu","Getir - Götür Fiilleri",584
"praeceptum -ī n.","kural, düstur; hüküm","İsim: 2. Çekim Grubu",Adalet,825
"praecipiō -cipere -cēpī -ceptum","önceden tahmin etmek, tavsiye etmek, tembih etmek","Fiil: 3. Çekim Grubu, -iō bitimli","Konuşma / Retorik",945
"praeda -ae f.","ganimet, yağma","İsim: 1. Çekim Grubu","Savaş ve Barış",626
"praemium -ī n.","ödül, mükafat","İsim: 2. Çekim Grubu","İş / Para",680
"praesēns -ntis","mevcut olan, bizzat bulunan, hazır olan","Sıfat: 3. Çekim Grubu",Yer,822
"praesidium -ī n.","garnizon, koruma","İsim: 2. Çekim Grubu","Savaş ve Barış",582
"praestō -stāre -stitī -stitum","üstün gelmek, önemli olmak","Fiil: 1. Çekim Grubu","Diğer Duyular",423
praeter,"yoluyla, süresince, geçe; -den başka, hariç (+ acc.)",Edat,Yer,756
praetereā,"ayrıca, yanı sıra",Zarf,"Bağlaç / Zarf",681
"praetor -ōris m.","praetor, roma'da bulunan yüksek adliye memuru","İsim: 3. Çekim Grubu",Kent,878
"precor -ārī","dua etmek, yalvarmak","Fiil: Deponens [etken anlamlı edilgen yapılı]",Din,492
"premō premere pressī pressum","basmak, sıkmak, sıkıştırmak","Fiil: 3. Çekim Grubu, -ō bitimli","Savaş ve Barış",240
"pretium -ī n.","değer, kıymet, bedel; pretium operae: bir çabanın mükafatı","İsim: 2. Çekim Grubu","İş / Para",629
"prex precis f.","ibadet, yakarı","İsim: 3. Çekim Grubu",Din,520
prīmum,"birincil olarak, evvela",Zarf,Zaman,252
"prīmus -a -um",birinci,"Sıfat: 1. ve 2. Çekim Grubu",Zaman,91
"prīnceps -cipis","ilk, birinci; (nesne) lider, komuta sahibi","Sıfat: 3. Çekim Grubu",Kent,317
"prīncipium -ī n.",başlangıç,"İsim: 2. Çekim Grubu",Zaman,948
"prior prius","eski, evvelki","Sıfat: 3. Çekim Grubu",Zaman,526
"prīvātus -a -um","kişisel, özel","Sıfat: 1. ve 2. Çekim Grubu","Sosyal Yaşam",882
"prius or priusquam",önce,Zarf,Zaman,484
prō,"uğruna, için, nedeniyle (+abl.)",Edat,"Yönelimsiz Edatlar",128
"probō -āre","onaylamak, tasvip etmek; birini (dat.) bir şeye (acc.) ikna etmek","Fiil: 1. Çekim Grubu","Teşvik Edici / Emredici Fiiller",784
"prōcēdō -cēdere -cessī -cessum","ileri gitmek, ilerlemek","Fiil: 3. Çekim Grubu, -ō bitimli",Hareket,746
procul,uzakta,Zarf,Yer,397
"prōdō prōdere prōdidī prōditum","yayımlamak, devretmek; ele vermek, ihanet etmek","Fiil: 3. Çekim Grubu, -ō bitimli","Getir - Götür Fiilleri",929
"proelium -ī n.",muharebe,"İsim: 2. Çekim Grubu","Savaş ve Barış",348
"proficīscor -ficīscī -fectus sum","yola çıkmak, ileri gitmek","Fiil: Deponens [etken anlamlı edilgen yapılı]",Seyahat,835
"prohibeō -ēre -uī -itum","engellemek, uzak tutmak","Fiil: 2. Çekim Grubu","Teşvik Edici / Emredici Fiiller",604
"prōmittō -mittere -mīsī -missum","ileri göndermek, söz vermek","Fiil: 3. Çekim Grubu, -ō bitimli","Teşvik Edici / Emredici Fiiller",720
prope,"yakında, yanında; (üstün.) propior, (en üstün.) proximus; (zarf) hemen hemen, neredeyse, adeta",Edat,Yer,189
"properō -āre","acele ettirmek, hız vermek","Fiil: 1. Çekim Grubu",Hareket,537
"prōpōnō -pōnere -posuī -positum","öne koymak, teşhir etmek, sunmak","Fiil: 3. Çekim Grubu, -ō bitimli","Konuşma / Retorik",930
"proprius -a -um","kendine özgü, kişisel","Sıfat: 1. ve 2. Çekim Grubu","Zamir / Soru Zamiri",854
propter,"sebebiyle (+ acc.)",Edat,"Yönelimsiz Edatlar",560
"prōsum prodesse profuī","yararlı olmak, iyiliği dokunmak, yardımcı olmak (+ dat.)","Fiil: Düzensiz","Sosyal Yaşam",373
prōtinus,"derhal, gecikmeden",Zarf,Zaman,903
"prōvincia -ae f.","eyalet; ödev","İsim: 1. Çekim Grubu",Kent,620
"pūblicus -a -um","halka ait, devlete ait","Sıfat: 1. ve 2. Çekim Grubu",Kent,517
"pudor pudōris m.","utanç, ar, hicap","İsim: 3. Çekim Grubu","Kişisel Özellikler / Nitelikler",616
"puella -ae f.","kız; kız arkadaş","İsim: 1. Çekim Grubu",İnsanlar,233
"puer puerī m.","çocuk; erkek köle","İsim: 2. Çekim Grubu",İnsanlar,191
"pūgna -ae f.","yumruk dövüşü; savaş","İsim: 1. Çekim Grubu",Şiddet,650
"pugnō -āre","kavga etmek","Fiil: 1. Çekim Grubu",Şiddet,708
"pulcher -chra -chrum",güzel,"Sıfat: 1. ve 2. Çekim Grubu","Görü / Görüntü",569
"putō -āre","düşünmek, sanmak","Fiil: 1. Çekim Grubu","Eğitim / Bilgi",166
quā,"nerede, nasıl",Zamir,"Zamir / Soru Zamiri",336
"quaerō -rere -sīvī -sītum","aramak, araştırmak","Fiil: 3. Çekim Grubu, -ō bitimli","Eğitim / Bilgi",113
"quālis -e","ne cins? nasıl?",Zamir,"Zamir / Soru Zamiri",263
quam,"nasıl?; (kıyaslamadan sonra) -den/-dan",Zarf,"Zamir / Soru Zamiri",29
quamquam,"gerçi, rağmen",Bağlaç,"Bağlaç / Zarf",644
quamvīs,"istediğin kadar; her ne kadar",Zarf,"Bağlaç / Zarf",489
quandō,"ne zaman?; beri; sī quandō: eğer olur da",Zarf,"Zamir / Soru Zamiri",621
quantum,"(zarf) ne kadar? ne ölçüde?; ne çok! ne büyük! ... kadar",Zarf,"Zamir / Soru Zamiri",557
"quantus -a -um","(soru) ne büyüklükte? (bağıl) …kadar çok (nesne) hangi büyüklük, miktar, vb. (bağıl) hangi tutar; quantī, hangi fiyata? (bağıl) hangi fiyattan",Zamir,"Zamir / Soru Zamiri",311
quārē,"nasıl? neden?",Zarf,"Zamir / Soru Zamiri",786
quasi,sözde,Zarf,"Bağlaç / Zarf",938
quattuor,dört,"Sıfat: Sayı",Ölçüm,867
que,"ve (olumlayıcı enklitik)",Bağlaç,"Bağlaç / Zarf",4
quemadmodum,"ne tarzda, nasıl",Zarf,"Zamir / Soru Zamiri",531
"queror querī questus sum","yakınmak, yas tutmak","Fiil: Deponens [etken anlamlı edilgen yapılı]",Duygular,518
"quī quae quod","kim, hangi, ne",Zamir,"Zamir / Soru Zamiri",3
quia,çünkü,Bağlaç,"Bağlaç / Zarf",132
"quīcumque quaecumque quodcumque","her kim, her ne",Zamir,"Zamir / Soru Zamiri",284
"quīdam quaedam quoddam","belli biri, birisi",Zamir,"Zamir / Soru Zamiri",126
quidem,"gerçekten, herhalde",Zarf,"Bağlaç / Zarf",136
"quiēscō quiēscere quiēvī quiētum","sessiz kalmak; uyumak","Fiil: 3. Çekim Grubu, -ō bitimli","Yaşam ve Varlık",969
quīn,"(zarf) gerçekten, esasında; (bağlaç) öyle ki … değil (+ subj.)",Zarf,"Bağlaç / Zarf",456
quīppe,"(zarf) elbette, tabii",Zarf,"Bağlaç / Zarf",499
"quis quid","kim? ne? hangisi?",Zamir,"Zamir / Soru Zamiri",212
"quisquam quicquam/quidquam","hiç (bir) kişi, hiç kimse",Zamir,"Zamir / Soru Zamiri",280
"quisque quaeque quidque","her biri, her bir kimse",Zamir,"Zamir / Soru Zamiri",197
"quisquis quidquid","her kim, her ne",Zamir,"Zamir / Soru Zamiri",129
quō,"hangi sebeple? nereye veya nerede; ne amaçla, hangi amaçla",Zarf,"Zamir / Soru Zamiri",305
quōmodo,"hangi yordamla? nasıl?",Bağlaç,"Zamir / Soru Zamiri",831
quondam,"bir zamanlar, vaktiyle",Zarf,Zaman,542
quoniam,"madem ki, halbuki",Bağlaç,"Bağlaç / Zarf",510
quoque,"dahi, de, bile",Bağlaç,"Bağlaç / Zarf",76
quotiēns,"(soru.) kaç kez? ne sıklıkla? (bağıl) …kadar sık, -ince",Zarf,"Zamir / Soru Zamiri",970
"rapiō rapere rapuī raptum","kapmak, koparmak","Fiil: 3. Çekim Grubu, -iō bitimli",Şiddet,273
"rārus -a -um","birbirinden uzakta, gevşek, ince, nadir, seyrek","Sıfat: 1. ve 2. Çekim Grubu",Ölçüm,752
"ratiō -ōnis f.","yöntem, plan, muhakeme","İsim: 3. Çekim Grubu","Eğitim / Bilgi",256
"recēdō -cēdere -cessī -cessum","geriye çekilmek, irkilmek, arka plana çekilmek, ayrılmak","Fiil: 3. Çekim Grubu, -ō bitimli",Hareket,826
"recēns -ntis","taze, yeni","Sıfat: 3. Çekim Grubu",Zaman,781
"recipiō -cipere -cēpī -ceptum","geri almak, kabul etmek; sē recipere, çekilmek, yolunu tutmak","Fiil: 3. Çekim Grubu, -iō bitimli","Getir - Götür Fiilleri",319
"rēctus -a -um","direkt, düz","Sıfat: 1. ve 2. Çekim Grubu",Ölçüm,823
"reddō -dere -didī -ditum","geri dönmek, geri vermek","Fiil: 3. Çekim Grubu, -ō bitimli","Getir - Götür Fiilleri",174
"redeō -īre -iī -itum","geri gelmek, geri dönmek","Fiil: Düzensiz",Hareket,301
"referō referre rettulī relātum","geri getirmek, rapor vermek","Fiil: Düzensiz","Getir - Götür Fiilleri",171
"regiō -ōnis f.","sınır, bölge","İsim: 3. Çekim Grubu",Coğrafya,585
"rēgius -a -um","krala ait, asil","Sıfat: 1. ve 2. Çekim Grubu","Kişisel Özellikler / Nitelikler",561
"rēgnum -ī n.","krallık, egemenlik","İsim: 2. Çekim Grubu",Coğrafya,121
"regō regere rēxī rēctum","kılavuzluk etmek, yönetmek","Fiil: 3. Çekim Grubu, -ō bitimli",Kent,554
"relinquō -linquere -līquī -lictum",terketmek,"Fiil: 3. Çekim Grubu, -ō bitimli",Hareket,144
"reliquus -a -um","geri kalan, bırakılan","Sıfat: 1. ve 2. Çekim Grubu",Ölçüm,788
"reor rērī rātus sum","düşünmek, hayal etmek, farzetmek, saymak","Fiil: Deponens [etken anlamlı edilgen yapılı]","Eğitim / Bilgi",774
"reperiō -perīre -pperī -pertum","bulmak, öğrenmek","Fiil: 4. Çekim Grubu","Eğitim / Bilgi",765
"repetō -petere -petīvī -petītum","talep etmek, zorla almak; yeniden ziyaret etmek; aklına getirmek, anımsamak, yinelemek","Fiil: 3. Çekim Grubu, -ō bitimli","Teşvik Edici / Emredici Fiiller",651
"rēs reī f.","şey (rēs pūblica, devlet; rēs familiāris, aile mülkü, arazisi; rēs mīlitāris, savaş sanatı; rēs novae, devrim)","İsim: 5. Çekim Grubu","Yaşam ve Varlık",38
"respicio -ere -spēxī -spectum","geriye bakmak, ummak, dikkate almak","Fiil: 3. Çekim Grubu, -iō bitimli","Görü / Görüntü",722
"respondeō -spondēre -spondī -spōnsum","cevap vermek","Fiil: 2. Çekim Grubu","Konuşma / Retorik",535
"retineō -tinēre -tinuī -tentum","saklamak, elde tutmak","Fiil: 2. Çekim Grubu","Teşvik Edici / Emredici Fiiller",647
"revertō -vertere -vertī","geri dönmek","Fiil: 3. Çekim Grubu, -ō bitimli",Hareket,995
"revocō -āre","geri çağırmak, hatırlamak","Fiil: 1. Çekim Grubu","Sosyal Yaşam",813
"reus -ī m.",sanık,"İsim: 2. Çekim Grubu",Adalet,888
"rēx rēgis m.",kral,"İsim: 3. Çekim Grubu",Kent,60
"rīdeō -ēre rīsī rīsum","gülmek, -e gülmek","Fiil: 3. Çekim Grubu, -ō bitimli",Duygular,874
"rīpa -ae f.","nehir kıyısı","İsim: 1. Çekim Grubu","Toprak ve Su",662
"rogō -āre",sormak,"Fiil: 1. Çekim Grubu","Konuşma / Retorik",551
"rumpō rumpere rūpī ruptum","kırmak, patlatmak","Fiil: 3. Çekim Grubu, -ō bitimli",Şiddet,480
rūrsus,"geriye, tersine",Zarf,Yer,440
"rūs rūris n.",taşra,"İsim: 3. Çekim Grubu",Coğrafya,879
"sacer sacra sacrum","kutsal, mukaddes","Sıfat: 1. ve 2. Çekim Grubu",Din,398
"sacerdōs -dōtis m./f.","rahip, rahibe","İsim: 3. Çekim Grubu",Din,939
"saeculum -ī n.","kuşak, nesil, yüzyıl","İsim: 2. Çekim Grubu","Zamanın Müddetleri",776
saepe,"sık sık",Zarf,Zaman,145
"saevus -a -um","öfkeli, hiddetli, gaddar","Sıfat: 1. ve 2. Çekim Grubu","Kişisel Özellikler / Nitelikler",244
"salūs -ūtis f.","sağlık, güvenlik","İsim: 3. Çekim Grubu","Yaşam ve Varlık",549
"sānctus -a -um","kutsal, dokunulmaz","Sıfat: 1. ve 2. Çekim Grubu",Din,659
"sanguis -inis m.",kan,"İsim: 3. Çekim Grubu",Beden,214
"sānus -a -um","sağlam, sağlıklı","Sıfat: 1. ve 2. Çekim Grubu","Yaşam ve Varlık",946
"sapiēns -ntis","bilge; (nesne) akıllı kişi, bilge kişi, filozof","Sıfat: 3. Çekim Grubu","Eğitim / Bilgi",453
"sapientia -ae f.","bilgelik, akıl, idrak","İsim: 1. Çekim Grubu","Eğitim / Bilgi",797
"satis, sat","yeterli, kâfi, elverişli",Zarf,Ölçüm,341
"saxum -ī n.","kaya, uçurum, kayalık","İsim: 2. Çekim Grubu","Toprak ve Su",306
"scelus -eris n.","suç, günah","İsim: 3. Çekim Grubu",Adalet,154
"scientia -ae f.",bilgi,"İsim: 1. Çekim Grubu","Eğitim / Bilgi",971
scīlicet,"açıkça, aşikar",Zarf,"Bağlaç / Zarf",889
"sciō -īre -īvī/-iī -ītum",bilmek,"Fiil: 4. Çekim Grubu","Eğitim / Bilgi",172
"scrībō scrībere scrīpsī scrīptum",yazmak,"Fiil: 3. Çekim Grubu, -ō bitimli","Yazı / Şiir",568
"secundus -a -um","izleyen; ardıl; (sayı) ikincil","Sıfat: 1. ve 2. Çekim Grubu",Ölçüm,836
"sēcūrus -a -um","sıkıntısız, huzurlu; tasasız","Sıfat: 1. ve 2. Çekim Grubu","Kişisel Özellikler / Nitelikler",697
sed,fakat,Bağlaç,"Bağlaç / Zarf",20
"sedeō sedēre sēdī sessum",oturmak,"Fiil: 2. Çekim Grubu","Ev / Hane",506
"sēdēs -is f.","oturacak yer, ikametgâh, ikamet","İsim: 3. Çekim Grubu","Ev / Hane",403
semel,"bir kez",Zarf,Zaman,789
semper,"daima, her zaman",Zarf,Zaman,149
"senātus -ūs m.",senato,"İsim: 4. Çekim Grubu",Kent,329
"senex -is m.","yaşlı kişi, ihtiyar; kıdemli, büyük kişi","İsim: 3. Çekim Grubu",İnsanlar,558
"sēnsus -ūs m.","hissiyat, duygu, sezi","İsim: 4. Çekim Grubu",Duygular,793
